Dataset,Model,Fold,Feature,Evidence stream,Mutual information (training fold only),Selected,Selection reason
Fused pseudo sensitivity,Logistic Regression,1,disk__parent_size,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,1,disk__parent_is_dotnet,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,1,disk__parent_is_i386,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,1,disk__parent_sections,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,1,disk__size_delta,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,1,disk__path_len,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,1,disk__parent_is_gui,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,1,memory__total_processes,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,1,memory__n_registry_hklm,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,1,memory__path_len,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,1,memory__modules_count,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,1,memory__path_entropy,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,1,memory__n_created_dll,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,1,memory__n_created_tmp,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,1,network__avg_domain_len,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,1,network__mean_domain_entropy,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,1,network__n_public_service_domains,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,1,network__n_unique_tlds,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,1,network__n_public_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,1,network__n_unique_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,1,network__domains_per_conn,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,2,disk__parent_size,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,2,disk__parent_is_dotnet,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,2,disk__parent_is_i386,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,2,disk__parent_sections,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,2,disk__size_delta,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,2,disk__path_len,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,2,disk__parent_is_gui,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,2,memory__total_processes,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,2,memory__n_registry_hklm,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,2,memory__path_len,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,2,memory__modules_count,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,2,memory__path_entropy,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,2,memory__n_created_dll,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,2,memory__n_created_tmp,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,2,network__avg_domain_len,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,2,network__mean_domain_entropy,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,2,network__n_public_service_domains,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,2,network__n_unique_tlds,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,2,network__n_public_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,2,network__n_unique_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,2,network__domains_per_conn,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,3,disk__parent_size,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,3,disk__parent_is_dotnet,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,3,disk__parent_is_i386,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,3,disk__parent_sections,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,3,disk__size_delta,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,3,disk__path_len,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,3,disk__parent_is_gui,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,3,memory__total_processes,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,3,memory__n_registry_hklm,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,3,memory__path_len,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,3,memory__modules_count,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,3,memory__path_entropy,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,3,memory__n_created_dll,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,3,memory__n_created_tmp,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,3,network__avg_domain_len,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,3,network__mean_domain_entropy,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,3,network__n_public_service_domains,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,3,network__n_unique_tlds,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,3,network__n_public_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,3,network__n_unique_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,3,network__domains_per_conn,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,4,disk__parent_size,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,4,disk__parent_is_dotnet,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,4,disk__parent_is_i386,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,4,disk__parent_sections,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,4,disk__size_delta,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,4,disk__path_len,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,4,disk__parent_is_gui,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,4,memory__total_processes,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,4,memory__n_registry_hklm,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,4,memory__path_len,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,4,memory__modules_count,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,4,memory__path_entropy,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,4,memory__n_created_dll,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,4,memory__n_created_tmp,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,4,network__avg_domain_len,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,4,network__mean_domain_entropy,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,4,network__n_public_service_domains,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,4,network__n_unique_tlds,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,4,network__n_public_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,4,network__n_unique_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,4,network__domains_per_conn,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,5,disk__parent_size,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,5,disk__parent_is_dotnet,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,5,disk__parent_is_i386,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,5,disk__parent_sections,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,5,disk__size_delta,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,5,disk__path_len,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,5,disk__parent_is_gui,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,5,memory__total_processes,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,5,memory__n_registry_hklm,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,5,memory__path_len,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,5,memory__modules_count,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,5,memory__path_entropy,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,5,memory__n_created_dll,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,5,memory__n_created_tmp,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,5,network__avg_domain_len,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,5,network__mean_domain_entropy,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,5,network__n_public_service_domains,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,5,network__n_unique_tlds,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,5,network__n_public_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,5,network__n_unique_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,5,network__domains_per_conn,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,6,disk__parent_size,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,6,disk__parent_is_dotnet,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,6,disk__parent_is_i386,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,6,disk__parent_sections,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,6,disk__size_delta,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,6,disk__path_len,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,6,disk__parent_is_gui,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,6,memory__total_processes,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,6,memory__n_registry_hklm,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,6,memory__path_len,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,6,memory__modules_count,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,6,memory__path_entropy,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,6,memory__n_created_dll,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,6,memory__n_created_tmp,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,6,network__avg_domain_len,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,6,network__mean_domain_entropy,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,6,network__n_public_service_domains,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,6,network__n_unique_tlds,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,6,network__n_public_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,6,network__n_unique_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,6,network__domains_per_conn,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,7,disk__parent_size,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,7,disk__parent_is_dotnet,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,7,disk__parent_is_i386,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,7,disk__parent_sections,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,7,disk__size_delta,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,7,disk__path_len,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,7,disk__parent_is_gui,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,7,memory__total_processes,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,7,memory__n_registry_hklm,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,7,memory__path_len,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,7,memory__modules_count,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,7,memory__path_entropy,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,7,memory__n_created_dll,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,7,memory__n_created_tmp,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,7,network__avg_domain_len,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,7,network__mean_domain_entropy,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,7,network__n_public_service_domains,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,7,network__n_unique_tlds,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,7,network__n_public_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,7,network__n_unique_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,7,network__domains_per_conn,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,8,disk__parent_size,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,8,disk__parent_is_dotnet,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,8,disk__parent_is_i386,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,8,disk__parent_sections,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,8,disk__size_delta,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,8,disk__path_len,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,8,disk__parent_is_gui,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,8,memory__total_processes,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,8,memory__n_registry_hklm,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,8,memory__path_len,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,8,memory__modules_count,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,8,memory__path_entropy,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,8,memory__n_created_dll,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,8,memory__n_created_tmp,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,8,network__avg_domain_len,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,8,network__mean_domain_entropy,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,8,network__n_public_service_domains,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,8,network__n_unique_tlds,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,8,network__n_public_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,8,network__n_unique_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,8,network__domains_per_conn,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,9,disk__parent_size,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,9,disk__parent_is_dotnet,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,9,disk__parent_is_i386,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,9,disk__parent_sections,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,9,disk__size_delta,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,9,disk__path_len,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,9,disk__parent_is_gui,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,9,memory__total_processes,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,9,memory__n_registry_hklm,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,9,memory__path_len,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,9,memory__modules_count,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,9,memory__path_entropy,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,9,memory__n_created_dll,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,9,memory__n_created_tmp,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,9,network__avg_domain_len,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,9,network__mean_domain_entropy,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,9,network__n_public_service_domains,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,9,network__n_unique_tlds,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,9,network__n_public_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,9,network__n_unique_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,9,network__domains_per_conn,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,10,disk__parent_size,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,10,disk__parent_is_dotnet,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,10,disk__parent_is_i386,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,10,disk__parent_sections,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,10,disk__size_delta,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,10,disk__path_len,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,10,disk__parent_is_gui,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Logistic Regression,10,memory__total_processes,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,10,memory__n_registry_hklm,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,10,memory__path_len,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,10,memory__modules_count,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,10,memory__path_entropy,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,10,memory__n_created_dll,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,10,memory__n_created_tmp,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Logistic Regression,10,network__avg_domain_len,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,10,network__mean_domain_entropy,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,10,network__n_public_service_domains,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,10,network__n_unique_tlds,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,10,network__n_public_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,10,network__n_unique_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Logistic Regression,10,network__domains_per_conn,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,1,disk__parent_size,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,1,disk__parent_is_dotnet,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,1,disk__parent_is_i386,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,1,disk__parent_sections,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,1,disk__size_delta,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,1,disk__path_len,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,1,disk__parent_is_gui,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,1,memory__total_processes,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,1,memory__n_registry_hklm,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,1,memory__path_len,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,1,memory__modules_count,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,1,memory__path_entropy,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,1,memory__n_created_dll,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,1,memory__n_created_tmp,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,1,network__avg_domain_len,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,1,network__mean_domain_entropy,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,1,network__n_public_service_domains,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,1,network__n_unique_tlds,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,1,network__n_public_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,1,network__n_unique_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,1,network__domains_per_conn,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,2,disk__parent_size,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,2,disk__parent_is_dotnet,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,2,disk__parent_is_i386,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,2,disk__parent_sections,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,2,disk__size_delta,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,2,disk__path_len,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,2,disk__parent_is_gui,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,2,memory__total_processes,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,2,memory__n_registry_hklm,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,2,memory__path_len,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,2,memory__modules_count,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,2,memory__path_entropy,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,2,memory__n_created_dll,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,2,memory__n_created_tmp,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,2,network__avg_domain_len,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,2,network__mean_domain_entropy,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,2,network__n_public_service_domains,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,2,network__n_unique_tlds,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,2,network__n_public_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,2,network__n_unique_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,2,network__domains_per_conn,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,3,disk__parent_size,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,3,disk__parent_is_dotnet,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,3,disk__parent_is_i386,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,3,disk__parent_sections,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,3,disk__size_delta,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,3,disk__path_len,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,3,disk__parent_is_gui,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,3,memory__total_processes,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,3,memory__n_registry_hklm,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,3,memory__path_len,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,3,memory__modules_count,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,3,memory__path_entropy,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,3,memory__n_created_dll,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,3,memory__n_created_tmp,memory,,True,All 7 supplied memory features retained
Fused pseudo sensitivity,Random Forest,3,network__avg_domain_len,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,3,network__mean_domain_entropy,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,3,network__n_public_service_domains,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,3,network__n_unique_tlds,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,3,network__n_public_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,3,network__n_unique_ips,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,3,network__domains_per_conn,network,,True,All 7 supplied network features retained
Fused pseudo sensitivity,Random Forest,4,disk__parent_size,disk,,True,All 7 supplied disk features retained
Fused pseudo sensitivity,Random Forest,4,disk__parent_is_dotnet,disk,,True,All 7 supplied disk features retained
